,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
Logistic Regression (baseline),0.9826086956521739,0.8598726114649682,1.0,0.9246575342465754,0.9963946247132088,0.9435717115595342
SVM (Poly kernel),0.9873517786561264,0.9343065693430657,0.9481481481481482,0.9411764705882353,0.9980989839396919,0.9764728603295809
Random Forest,0.9968379446640316,0.9851851851851852,0.9851851851851852,0.9851851851851852,0.9998361193051458,0.9987777519919548
Gradient Boosting,0.9960474308300395,0.9779411764705882,0.9851851851851852,0.981549815498155,0.9999016715830875,0.9991997578141875
